date,actual_orders,actual_revenue,forecasted_orders,forecasted_revenue
2016-09-01,3.0,259.11,,
2016-10-01,308.0,44324.055,,
2016-12-01,1.0,19.62,,
2017-01-01,786.0,108209.06,,
2017-02-01,1727.0,226652.36000000002,,
2017-03-01,2633.0,346090.355,,
2017-04-01,2385.0,332747.52,,
2017-05-01,3651.0,486222.63,,
2017-06-01,3205.0,416141.185,,
2017-07-01,3961.0,519239.565,,
2017-08-01,4287.0,551995.29,,
2017-09-01,4235.0,572301.62,,
2017-10-01,4562.0,614368.47,,
2017-11-01,7426.0,964676.835,,
2017-12-01,5615.0,739710.78,,
2018-01-01,7545.0,977300.06,,
2018-02-01,6678.0,833610.97,,
2018-03-01,7172.0,952916.865,,
2018-04-01,6916.0,931449.65,,
2018-05-01,6835.0,904675.145,,
2018-06-01,6134.0,827658.605,,
2018-07-01,6254.0,840491.24,,
2018-08-01,6442.0,830163.45,,
2018-09-01,1.0,166.46,,
2018-10-31,,,1597.0136070159053,129148.28105741093
2018-11-30,,,3116.362238152581,353281.2749999739
2018-12-31,,,1955.6253043895608,233156.98183759244
2019-01-31,,,3204.3778006092984,361642.9442926331
2019-02-28,,,3167.756487937796,309626.97739407246
2019-03-31,,,3794.8866366175134,369162.4103763841
2019-04-30,,,3483.608969142,310372.19153841137
2019-05-31,,,3934.6503679971975,331760.94770731265
2019-06-30,,,3244.253881957802,249798.74590974645
2019-07-31,,,3602.5403799141054,310745.1862068793
2019-08-31,,,3785.997679410318,367814.1976394743
2019-09-30,,,527.8575506570623,166.46688954083947
