date,actual_orders,actual_revenue,forecasted_orders,forecasted_revenue
2016-09-01,4.0,259.11,0.0,0.0
2016-10-01,344.0,44324.055,0.0,0.0
2016-12-01,1.0,19.62,0.0,0.0
2017-01-01,865.0,108209.06,0.0,0.0
2017-02-01,1872.0,226652.36000000002,0.0,0.0
2017-03-01,2865.0,346090.355,0.0,0.0
2017-04-01,2609.0,332747.52,0.0,0.0
2017-05-01,4019.0,486222.63,0.0,0.0
2017-06-01,3497.0,416141.185,0.0,0.0
2017-07-01,4363.0,519239.565,0.0,0.0
2017-08-01,4640.0,551995.29,0.0,0.0
2017-09-01,4581.0,572301.62,0.0,0.0
2017-10-01,4978.0,614368.47,0.0,0.0
2017-11-01,8046.0,964676.835,0.0,0.0
2017-12-01,6047.0,739710.78,0.0,0.0
2018-01-01,8130.0,977300.06,0.0,0.0
2018-02-01,7072.0,833610.97,0.0,0.0
2018-03-01,7678.0,952916.865,0.0,0.0
2018-04-01,7458.0,931449.65,0.0,0.0
2018-05-01,7316.0,904675.145,0.0,0.0
2018-06-01,6605.0,827658.605,0.0,0.0
2018-07-01,6669.0,840491.24,0.0,0.0
2018-08-01,6889.0,830163.45,0.0,0.0
2018-09-01,1.0,166.46,0.0,0.0
2018-10-31,0.0,0.0,1796.7742756993282,445208.8216893875
2018-11-30,0.0,0.0,3428.0414881357706,-38903.30847252498
2018-12-31,0.0,0.0,2149.6627063838,-46909.0394037583
2019-01-31,0.0,0.0,3497.937901265095,-178998.77971504015
2019-02-28,0.0,0.0,3389.9790102827933,-211832.94676785864
2019-03-31,0.0,0.0,4113.436390571305,-367977.19010758505
